parameter,mean,sd,2.5%,25%,50%,75%,97.5%,Bulk_ESS,Tail_ESS,Rhat
"mu[Shashvat, 2019]",6.98790999690676,0.618895000288076,5.77068927076544,6.57373143953832,6.99817317361373,7.40999389115835,8.21349928311586,744.97977564957,2433.39741125281,1.00609165178878
"mu[Shashvat, 2023]",6.66718431989657,0.637410759267168,5.42944652484065,6.23905358851872,6.66142849699308,7.09165610224742,7.941022678269,827.845444873421,2468.25426220464,1.00660581200125
"mu[Tian, 2024]",7.15084109170527,0.604924956995016,5.96071924508558,6.73787502805607,7.15263797990884,7.56120816483625,8.33930586760103,766.390267125933,2243.04180666018,1.00570851805111
"mu[Tuan, 2024]",6.29668718620149,0.582935230847451,5.16280880094832,5.89381601738395,6.28596842157686,6.69565274036393,7.44445688101549,691.857608767227,2114.77654938552,1.00623901491825
"mu[Weng, 2024]",6.91450012444684,0.586845365206433,5.81508686655433,6.51165427060224,6.90249240790707,7.31067529509572,8.07584399282251,702.719579393505,2563.95161633548,1.00463822241018
"mu[Xu, 2020]",6.03310124263512,0.549214790941784,4.98357946479197,5.65297309313661,6.02510391842761,6.41321362919429,7.12426713976543,616.34024964328,1837.2888636793,1.00806885529756
"mu[Zhao, 2020]",4.73090629812403,0.556484982691014,3.6542086214738,4.35268150809139,4.73489898768394,5.11904017793399,5.79133289902838,546.225586706744,1965.68684973244,1.01026400353657
"mu[Zhao, 2023]",7.06602110028886,0.542888979475529,5.99480698057559,6.69551674173906,7.06868771525022,7.43557624537733,8.11296801001875,639.012264151442,1810.15610202698,1.0060287217817
d[AdaBoost],-1.66235713645571,0.744789661758261,-3.10761385849979,-2.16546831140143,-1.66512585582565,-1.16548049224337,-0.169633153611419,1065.08515897099,2898.7750809653,1.0043756410909
d[ANFIS],-1.95435109476213,0.804563972769565,-3.51440062979297,-2.50524825101568,-1.96248599363459,-1.41265251442609,-0.383083682717981,1363.50030156573,3298.72809867164,1.00174144800125
d[ANN],-1.77196866445074,0.374873040600171,-2.49535947906973,-2.03334374174972,-1.77540252372491,-1.50338808073251,-1.05913311829675,290.009268569151,738.35617126849,1.01533608236304
d[AR],-1.92493748270457,0.420016694677591,-2.75311967698978,-2.2050155427488,-1.92922949782062,-1.63984030175835,-1.10990397940412,359.304889884582,1093.10013930571,1.01291158253996
d[ARIMA],-2.03148828402672,0.375059815723648,-2.76993574470219,-2.28809644945807,-2.03851122842388,-1.76657271773509,-1.30833589848991,294.833796625769,766.376266571757,1.01547026406279
d[ARIMAX],-1.67912655144012,0.397471401375472,-2.45187193461535,-1.95250131023332,-1.67861938902963,-1.39845087267836,-0.909302023672041,322.570726358787,801.122159844793,1.01359296530881
d[ARNN],-2.10156622764614,0.423031044678183,-2.92686437767059,-2.38876541446435,-2.09892071261025,-1.80522820634533,-1.29776455279762,371.811334767735,1191.03357528492,1.01340357468554
d[BSTS],-1.78124940761268,0.439761155283648,-2.63526745037904,-2.08288832774193,-1.78259368531025,-1.47416024265172,-0.934174134105981,402.141657439006,1186.48966781302,1.01198963321591
d[CNN],-2.02603831117669,0.385192445206648,-2.77721356134189,-2.29491876756698,-2.03085010448534,-1.75139028602407,-1.2953040084698,307.771161394935,826.695674888908,1.01470322116752
d[Damped Holt's],-1.88121355149883,0.416028185248891,-2.68410789179082,-2.17331579391935,-1.887204179833,-1.59523297417661,-1.07227119584675,352.606149227403,996.446656979047,1.01133537752608
d[DHR (Dynamic Harmonic Regression )],-1.90050574830893,0.947549756594229,-3.73749353288731,-2.53353691786283,-1.9081303872992,-1.27129648005578,-0.0358043720393837,1358.72133500777,3016.27835401526,1.00267850556188
d[DT],-1.73064929188629,0.385722600141281,-2.47290463047517,-1.99960339913236,-1.73791392308912,-1.4567502923542,-0.995222952359673,305.637710352084,896.299683287883,1.01454712573075
d[ENN],-1.73208889486885,0.389160233221844,-2.49545759399419,-2.00182420115037,-1.73521554604348,-1.46154990373749,-1.00544173470432,314.473582393915,859.410111066737,1.01441119096148
d[Ensemble],-2.08626330446621,0.377367439342931,-2.82256295529947,-2.35064823077472,-2.08693418733343,-1.82809652899925,-1.36081194738388,313.575757185032,840.177227624422,1.0159080080703
d[EWNet],-2.04208986713662,0.438548927913726,-2.88825515727172,-2.34815142760629,-2.04106096535793,-1.73614793575761,-1.19652011988432,396.23958846223,1223.68510497669,1.01373106146038
d[Exponential Smoothing],-2.04976264223965,0.404264115323198,-2.83283908318777,-2.33107531857986,-2.05629625702629,-1.76829752381551,-1.26872076562777,347.966571074066,1012.7345367382,1.0134480059651
d[Facebook Prophet],-1.99557055423384,0.425655780084445,-2.82241184729823,-2.29276576709526,-1.99386716954874,-1.70618691697769,-1.17062393394725,359.914354296875,1168.73684222069,1.01158211314214
d[GAMM],-1.20046213055877,0.970537960197603,-3.11530383418147,-1.85038279928218,-1.19332046243722,-0.546046031709484,0.697161153143905,1762.50853253474,4707.75559278198,1.00161565476896
d[Gaussian Process (GP)],-2.03977784556439,0.561735585040626,-3.13354815174715,-2.41380421422467,-2.03985358382183,-1.67108729448267,-0.926435037134085,613.707761855001,1748.07154802421,1.00762328031684
d[GBM],-1.63470751528768,0.387566074592162,-2.39663246800522,-1.90692639818487,-1.63696079952126,-1.36248762433625,-0.889795788907605,308.577040253668,842.624850891029,1.01278146911638
d[GLM],-2.09974524387859,0.415292077691684,-2.90241403880761,-2.38703243721762,-2.09751488667204,-1.81655549502824,-1.27888988436402,422.804445543907,1267.24521205638,1.01083812870969
d[GMM],-1.74649512998656,0.382416023722392,-2.49204746715321,-2.00970700044515,-1.74717121374889,-1.47237243400903,-1.02797662334748,307.412889137185,747.960468251218,1.01373587304491
d[GRU],-1.95817743057859,0.384761479748461,-2.71989429148372,-2.22061064986163,-1.95722504091269,-1.68729773279094,-1.22954240090678,306.298180646128,785.361460472975,1.01398216450039
d[Hybrid],-2.01415174367451,0.371027422873985,-2.74691191915515,-2.27098761806744,-2.01924752326301,-1.75016142840969,-1.31075016346196,296.387940317288,770.052138256351,1.01584890444872
d[k-NN],-2.28251270796773,0.390976788064821,-3.03791705817656,-2.54835707287,-2.28642251891284,-2.00583333031192,-1.53503367296004,312.016321110482,845.166482161894,1.01433945102711
d[Kalman Filtering],-2.19647425406853,0.424880015182154,-3.01924777891093,-2.4842810781713,-2.20473743401378,-1.90917087890482,-1.35771710789647,462.313030576742,1494.42586034806,1.00868840662492
d[LR],-1.77152189320268,0.37496712782931,-2.50324735816205,-2.03119388062749,-1.78045217572413,-1.5036644613429,-1.05387181346913,291.522967582468,747.696018840069,1.01570902899138
d[LSTM],-1.98359227030507,0.37283007631509,-2.71412923698972,-2.24410841730778,-1.98972554018605,-1.72009640118955,-1.27548665503147,285.28966426648,712.199942918195,1.0163922265164
d[MA],-1.88724826999573,0.422632405511224,-2.6961093846045,-2.17398269543771,-1.89432488708183,-1.59616014757184,-1.07047155837751,377.842695466725,1011.27307727372,1.01046625281668
d[MLP],-1.69900585571461,0.501759423236572,-2.67830097676685,-2.04327132622084,-1.69374115320355,-1.36169300194002,-0.713261777966838,638.217769022202,1858.72122938797,1.00766496329184
d[NBeatsX],-1.63810138469588,0.443617745173264,-2.50459980218035,-1.94056309426732,-1.63546627578842,-1.33152190589032,-0.77154286462724,402.702558488743,1154.16942661478,1.01328552442758
d[NBM (negative binomial regression model)],-1.48426017811505,0.454264413649625,-2.35652415719467,-1.79451658337965,-1.49309518302395,-1.17185164037059,-0.600925492537726,405.096844065516,1175.64389569116,1.00976832992015
d[RF],-1.73915675752395,0.376223224104555,-2.47592010480624,-1.99591458194349,-1.74653562870639,-1.46960788136874,-1.02605377259742,284.303888472936,716.009952174746,1.01593791639986
d[RNN],-1.84620259455055,0.406862776871878,-2.63440847001409,-2.12653467373602,-1.84897481561034,-1.56319449142906,-1.06795959041468,344.701878447361,942.800359611914,1.01330856262802
d[SARIMA],-1.75374793153803,0.380058637523483,-2.49868496501675,-2.01810527648179,-1.75904666772377,-1.48651948466191,-1.03100522131192,299.393576451547,774.01449151047,1.01563200450861
d[SARIMAX],-1.73791504813288,0.462070118131811,-2.63812976471881,-2.059164194513,-1.72917885931193,-1.42411696509624,-0.833983241174054,430.655269309035,1260.13512239374,1.01000717424481
d[SETAR],-1.95245945213815,0.437859948115369,-2.80214474992131,-2.25584929722817,-1.94938777179311,-1.64692799330484,-1.10407860450508,404.272361503416,1326.32060493016,1.01169145222546
d[STL],-2.03035668709413,0.650954270530746,-3.30319808307342,-2.47535612891463,-2.03551061856943,-1.57499504031866,-0.756354687903421,705.108253025438,2405.61097643236,1.00454780766653
d[SVM],-1.74771247377029,0.374150025550926,-2.4772066052617,-2.00757009477334,-1.7541055638841,-1.48381513197259,-1.03452381626933,288.071366400522,731.172368320919,1.01556038896543
d[TBATS],-1.89964545666546,0.441769159348691,-2.75850199280656,-2.20218775258764,-1.89667571567903,-1.59738721392885,-1.04077783987178,393.877968356426,1214.66477526542,1.01221431569471
d[TCNX],-1.42271443344827,0.447298039984684,-2.28834871509334,-1.73308960506244,-1.42480224928916,-1.11405224983516,-0.557442923431971,412.311695491822,1328.85186286255,1.01130427865476
d[Theta],-2.06256863021112,0.438046026250346,-2.92161260585927,-2.35800122687885,-2.06952790159439,-1.75227717123581,-1.23219250038948,402.221357030196,1234.64868897616,1.01108367951767
d[Transformer],-1.97998090449076,0.391845181828883,-2.73702778336088,-2.25533360054791,-1.98721047964536,-1.70459267176008,-1.23264609537326,312.935554086127,913.583559482306,1.01557937846865
d[TransformersX],-1.7024230256815,0.445574548893657,-2.57897547631735,-2.00151834649355,-1.70171240333039,-1.39956163561096,-0.839765615714624,406.346504954208,1213.02707380744,1.0101349862892
d[VAR],-2.24834346608604,0.387979225854975,-3.00041297486721,-2.51782276834681,-2.25440308491076,-1.97030439211024,-1.50989272497062,304.777213845123,764.276924837181,1.01523716565695
d[XGBoost],-1.73656140448765,0.388692428061355,-2.48715586476961,-2.00668727205174,-1.74069031951278,-1.46016605331859,-1.00062454160914,311.678770925125,876.274639033962,1.01482463710986
tau,0.570387918045482,0.017430830984986,0.536857369419678,0.558731059326153,0.570165227153681,0.58189343082313,0.605996454623786,3758.81605820706,5589.02072857613,1.0008045414266
"delta[Agarwala, 2024: RF]",-2.10443582312606,0.633219457277333,-3.33549716086024,-2.53831736917613,-2.10580240788148,-1.67837182033608,-0.853489127842192,721.777872674386,1931.06365345685,1.00619774586205
"delta[Agarwala, 2024: SARIMA]",-2.10039483861023,0.633810827720229,-3.34066638731694,-2.53572405350297,-2.10012588669497,-1.68466390292111,-0.864255144910304,714.085855507384,1898.63308657985,1.00744309255659
"delta[Agarwala, 2024: XGBoost]",-1.04263739399866,0.654685593693859,-2.3106638346643,-1.49323800282356,-1.0441321583031,-0.594249208272841,0.238957504485462,785.443464637156,2181.74617945087,1.0066354891628
"delta[Anggraeni, 2021: LSTM, 1]",-2.1309916062447,0.618121784934188,-3.34318356986719,-2.54706316058812,-2.13986160824321,-1.70891520649761,-0.906163871103196,725.166525619925,2563.49683793216,1.00488391757086
"delta[Anggraeni, 2021: LSTM, 2]",-2.12086426537709,0.618703827272376,-3.33901364202577,-2.54104350528007,-2.1166990569284,-1.69153850286741,-0.9222295885109,722.876371017563,2403.91325278126,1.0052869067514
"delta[Anggraeni, 2021: LSTM, 3]",-2.1207115030295,0.620946827388644,-3.36145870384969,-2.54787578500355,-2.1142952730085,-1.6933706923866,-0.92342578462978,752.390416655142,2502.72960560932,1.00414337863061
"delta[Anggraeni, 2021: LSTM, 4]",-2.11944268743648,0.624245985719642,-3.33316172762596,-2.54276437087042,-2.12102575900151,-1.69871306303663,-0.91740862253994,768.854502710225,2353.08552202188,1.00462096193648
"delta[Anggraeni, 2021: LSTM, 5]",-2.1159855561565,0.623570373797986,-3.36773298087066,-2.5366493857492,-2.10720574633314,-1.68191326747391,-0.897545440331932,728.069752984344,2411.75400790193,1.00470245719173
"delta[Anggraeni, 2021: LSTM, 6]",-2.1104426633361,0.625724200081532,-3.36226004144734,-2.52137612437496,-2.10464736392461,-1.68147791255393,-0.914846846063851,727.990112897104,2207.93400042152,1.00487327223711
