.trt,parameter,p_rank[1],p_rank[2],p_rank[3],p_rank[4],p_rank[5],p_rank[6],p_rank[7],p_rank[8],p_rank[9],p_rank[10],p_rank[11],p_rank[12],p_rank[13],p_rank[14],p_rank[15],p_rank[16],p_rank[17],p_rank[18],p_rank[19],p_rank[20],p_rank[21],p_rank[22],p_rank[23],p_rank[24],p_rank[25],p_rank[26],p_rank[27],p_rank[28],p_rank[29],p_rank[30],p_rank[31],p_rank[32],p_rank[33],p_rank[34],p_rank[35],p_rank[36],p_rank[37],p_rank[38],p_rank[39],p_rank[40],p_rank[41],p_rank[42],p_rank[43],p_rank[44],p_rank[45],p_rank[46],p_rank[47]
GRU,d[GRU],0,5e-04,0.0025,0.005875,0.011375,0.020625,0.034375,0.054625,0.084375,0.115125,0.153625,0.191875,0.24075,0.29275,0.34775,0.400375,0.45575,0.517375,0.577,0.6345,0.688625,0.74125,0.789125,0.832125,0.868,0.895875,0.916875,0.934625,0.949125,0.96075,0.970625,0.97775,0.9835,0.98825,0.991375,0.994875,0.99725,0.998,0.998625,0.99925,0.99975,1,1,1,1,1,1
Hybrid,d[Hybrid],0,0,0.000625,0.002,0.005625,0.014625,0.032625,0.0565,0.098125,0.151375,0.21525,0.287,0.37075,0.450875,0.5375,0.62375,0.69325,0.760125,0.82,0.868,0.903875,0.9345,0.95525,0.97225,0.9835,0.990125,0.994125,0.996375,0.997875,0.99825,0.998625,0.99925,0.9995,0.99975,0.999875,1,1,1,1,1,1,1,1,1,1,1,1
k-NN,d[k-NN],0.05625,0.17375,0.323375,0.47475,0.606375,0.70475,0.78525,0.843,0.885375,0.91325,0.934625,0.952125,0.964125,0.9755,0.983,0.98775,0.99,0.992125,0.994625,0.99675,0.998125,0.998625,0.99875,0.999125,0.999625,0.999875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kalman Filtering,d[Kalman Filtering],0.08175,0.188625,0.28225,0.3585,0.426875,0.482875,0.526,0.56625,0.605125,0.6375,0.6645,0.691375,0.712875,0.733,0.75175,0.77325,0.7935,0.812875,0.82975,0.84675,0.8605,0.87475,0.887625,0.899375,0.90925,0.919125,0.9255,0.93225,0.938125,0.9435,0.9485,0.95425,0.960625,0.966125,0.971,0.976,0.98,0.984125,0.986625,0.99025,0.993875,0.99675,0.99825,0.999375,0.99975,1,1
LR,d[LR],0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.000875,0.001125,0.002375,0.00425,0.007375,0.01275,0.022875,0.0385,0.061375,0.094,0.13675,0.18725,0.254875,0.327375,0.411,0.49,0.574375,0.652625,0.725625,0.793,0.84825,0.891,0.929875,0.959375,0.975875,0.9885,0.995375,0.998125,0.999625,0.999875,1,1,1,1
LSTM,d[LSTM],0,0,0,0.000125,0.001,0.002375,0.006625,0.014125,0.03025,0.0565,0.0925,0.142375,0.209875,0.28225,0.372375,0.468375,0.57125,0.66525,0.755875,0.829,0.886125,0.929,0.960375,0.978,0.988625,0.99525,0.9985,0.99925,0.999625,0.999875,0.999875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MA,d[MA],0.000875,0.006875,0.0165,0.0295,0.04475,0.061125,0.0815,0.1015,0.12375,0.147875,0.17575,0.203875,0.229875,0.257875,0.2835,0.31075,0.3385,0.370875,0.40075,0.435625,0.4695,0.505625,0.54025,0.573,0.605875,0.638,0.667375,0.69175,0.71325,0.735375,0.757,0.77975,0.79875,0.819375,0.84,0.860875,0.881125,0.901125,0.924125,0.9455,0.96425,0.981,0.992125,0.9975,0.999125,1,1
MLP,d[MLP],0.011125,0.0265,0.0425,0.059125,0.0745,0.087875,0.1035,0.118625,0.133375,0.146625,0.1585,0.17175,0.18225,0.196125,0.20925,0.222125,0.23525,0.2495,0.26375,0.278875,0.29425,0.310375,0.326625,0.34375,0.3585,0.376,0.39125,0.405,0.4215,0.435625,0.4515,0.465,0.481,0.4985,0.5145,0.536,0.559,0.585125,0.61575,0.654375,0.697625,0.75075,0.817875,0.888375,0.95825,0.99975,1
NBeatsX,d[NBeatsX],5e-04,0.001125,0.00275,0.0045,0.007625,0.01075,0.015,0.02175,0.027875,0.033375,0.040375,0.047125,0.05325,0.06275,0.071375,0.078875,0.088,0.09775,0.111375,0.126625,0.1405,0.156625,0.174,0.194875,0.218125,0.23675,0.2575,0.27475,0.293375,0.307875,0.326,0.34575,0.36575,0.3895,0.41775,0.445,0.482125,0.524875,0.574375,0.6355,0.7,0.776125,0.85775,0.932625,0.9815,1,1
NBM (negative binomial regression model),d[NBM (negative binomial regression model)],0.000125,0.00025,0.00075,0.001375,0.002125,0.003125,0.004625,0.006125,0.007125,0.008875,0.011,0.0145,0.016375,0.0195,0.022375,0.026875,0.030125,0.035,0.039125,0.043625,0.052125,0.0585,0.067375,0.076875,0.0855,0.092875,0.101875,0.111375,0.124,0.1355,0.146875,0.15975,0.17525,0.19275,0.211625,0.2325,0.258375,0.294625,0.339125,0.392625,0.464875,0.559375,0.684375,0.818375,0.9435,0.99975,1
